,QueryLabel,JoinSize
0,0,11637
1,1,383
2,2,79017
3,3,6167
4,4,91761
5,5,266208
6,6,293277
7,7,3014
8,8,37797
9,9,154286
10,10,50805
11,11,33
12,12,2
13,13,711
14,14,74486
15,15,158431
16,16,372
17,17,2362
18,18,36816
19,19,9552
20,20,5380
21,21,828
22,22,11091
23,23,142270
24,24,7
25,25,3
26,26,9
27,27,6
28,28,12368
29,29,128
30,30,27753
31,31,2562
32,32,88620
33,33,163824
34,34,112070
35,35,1110
36,36,30990
37,37,6304
38,38,274616
39,39,152818
40,40,168856
41,41,57841
42,42,13480
43,43,296250
44,44,141823
45,45,39346
46,46,3529
47,47,4509
48,48,28307
49,49,3
50,50,18602
51,51,32106
52,52,1644
53,53,3476
54,54,55272
55,55,1286
56,56,16315
57,57,23
58,58,26
59,59,188
60,60,14
61,61,76294
62,62,14534
63,63,300
64,64,5577
65,65,13
66,66,10
67,67,174
68,68,341
69,69,2375
70,70,76
71,71,2601
72,72,15764
73,73,3025
74,74,4475
75,75,1090
76,76,4
77,77,645
78,78,1149
79,79,29
80,80,82
81,81,4577
82,82,2124
83,83,1
84,84,37
85,85,1
86,86,34
87,87,815
88,88,2771
89,89,298
90,90,15
91,91,287
92,92,307
93,93,7856
94,94,9209
95,95,509688
96,96,4327
97,97,64
98,98,32961
99,99,29
100,100,20
101,101,79
102,102,22
103,103,1179
104,104,5
105,105,53
106,106,1520
107,107,2001
108,108,2176
109,109,46
110,110,27
111,111,10320
112,112,40
113,113,25615
114,114,199
115,115,5053
116,116,79
117,117,678178
118,118,9128
119,119,59
120,120,3347
121,121,19130
122,122,99
123,123,695
124,124,5
125,125,8
126,126,17020
127,127,43
128,128,1399
129,129,6594972
130,130,23
131,131,56888
132,132,23150
133,133,8714
134,134,55
135,135,571
136,136,3
137,137,28815
138,138,165076309
139,139,219
140,140,1207
141,141,11770123
142,142,1
143,143,27561
144,144,38
145,145,46338
146,146,227
147,147,28600
148,148,55
149,149,1
150,150,64
151,151,250
152,152,5
153,153,4
154,154,585
155,155,567
156,156,78
157,157,27816
158,158,2
159,159,854261
160,160,11838094
161,161,4006
162,162,1670
163,163,4791
164,164,4137
165,165,229
166,166,3
167,167,2802
168,168,4054
169,169,1
170,170,6
171,171,23796
172,172,31478
173,173,11
174,174,46701
175,175,6
176,176,60
177,177,18
178,178,197
179,179,317
180,180,76
181,181,12
182,182,3
183,183,1
184,184,1
185,185,3
186,186,8748
187,187,8
188,188,4009
189,189,62
190,190,4
191,191,62
192,192,4774
193,193,12
194,194,3
195,195,2664
196,196,102
197,197,6
198,198,526
199,199,131
200,200,3
201,201,3
202,202,854464
203,203,39
204,204,3
205,205,264460
206,206,193
207,207,447
208,208,21
209,209,3
210,210,43
211,211,1500007
212,212,3365
213,213,65912
214,214,1
215,215,5
216,216,4
217,217,184
218,218,1
219,219,1
220,220,38679
221,221,3819244
222,222,164618
223,223,5476
224,224,3862
225,225,1290161
226,226,840
227,227,60
228,228,459123
229,229,1
230,230,185404
231,231,4093857
232,232,32826
233,233,1512
234,234,360
235,235,3820
236,236,211104
237,237,1230
238,238,12032087
239,239,2
240,240,5805
241,241,500819
242,242,181760
243,243,1253083
244,244,19155456
245,245,6671
246,246,20791964
247,247,50106
248,248,89274
249,249,52484
250,250,295
251,251,6835697
252,252,118
253,253,62370
254,254,21619637
255,255,1858
256,256,110469
257,257,14072
258,258,354654
259,259,239635
260,260,108747
261,261,444310
262,262,1471264
263,263,4077027
264,264,45
265,265,12792
266,266,5456
267,267,2168
268,268,910
269,269,19
270,270,147596
271,271,12692472
272,272,6191
273,273,59795
274,274,2972716
275,275,2199
276,276,439305
277,277,1086
278,278,27
279,279,25
280,280,534
281,281,46
282,282,1975
283,283,6
284,284,639867
285,285,4
286,286,4
287,287,5
288,288,18104361
289,289,590
290,290,122
291,291,6339
292,292,23
293,293,77
294,294,4
295,295,14
296,296,782663
297,297,4
298,298,6795326
299,299,1136
300,300,1251
301,301,2526
302,302,1515
303,303,1438
304,304,59357
305,305,3271
306,306,2800839
307,307,567
308,308,2
309,309,10383
310,310,9134437
311,311,38
312,312,3
313,313,1845302
314,314,658076
315,315,8740
316,316,102
317,317,4341
318,318,454987
319,319,1915
320,320,64219
321,321,11267677
322,322,1
323,323,5561348
324,324,1230
325,325,1137
326,326,43091912
327,327,23
328,328,39
329,329,677
330,330,570565
331,331,13899
332,332,1417
333,333,1119
334,334,1
335,335,1194786
336,336,5454544
337,337,509582
338,338,351140
339,339,195931
340,340,6238
341,341,5906
342,342,304411
343,343,23481
344,344,1280191
345,345,382026
346,346,590
347,347,21
348,348,50968
349,349,18
350,350,1429
351,351,3340861
352,352,2
353,353,1729301
354,354,2454483
355,355,218996
356,356,1
357,357,11519
358,358,252274
359,359,533889
360,360,17410
361,361,390343
362,362,8
363,363,18
364,364,298
365,365,425101
366,366,122854
367,367,5812
368,368,3
369,369,18
370,370,70
371,371,11
372,372,48
373,373,55
374,374,50503
375,375,282576
376,376,7
377,377,3928
378,378,91717
379,379,3077
380,380,3692856
381,381,4
382,382,5
383,383,724787
384,384,1453899
385,385,16494
386,386,66
387,387,21004
388,388,61314
389,389,6517182
390,390,1184773
391,391,37
392,392,91025
393,393,6598
394,394,2914
395,395,4
396,396,24827
397,397,3419841
398,398,26948
399,399,280643
400,400,2351543
401,401,60
402,402,643858
403,403,17
404,404,198102
405,405,244474
406,406,4021
407,407,373
408,408,976
409,409,1549
410,410,138855
411,411,74412
412,412,2634
413,413,88511
414,414,7557053
415,415,180
416,416,3010052
417,417,580951
418,418,1154208
419,419,144362
420,420,94207
421,421,7183702
422,422,292
423,423,3474327
424,424,13625942
425,425,441793
426,426,541
427,427,366342
428,428,4621
429,429,12
430,430,386013
431,431,1717
432,432,1460
433,433,162018
434,434,9582521
435,435,1034888
436,436,351
437,437,66067
438,438,1058654
439,439,25939
440,440,3245
441,441,945
442,442,264
443,443,18875160
444,444,7316806
445,445,12548
446,446,22447677
447,447,7513305
448,448,1495
449,449,763746
450,450,1797
451,451,506397
452,452,2919068
453,453,37563
454,454,8123586
455,455,188668
456,456,163003
457,457,13146
458,458,2500526
459,459,272419
460,460,57
461,461,409330
462,462,1785
463,463,270205
464,464,3153
465,465,1640
466,466,3881432
467,467,6525723
468,468,210356
469,469,21645
470,470,1119479
471,471,13143
472,472,4032
473,473,550115
474,474,624
475,475,30464
476,476,568
477,477,917942
478,478,1809
479,479,10907
480,480,70768
481,481,2587182
482,482,2027
483,483,464136
484,484,438683
485,485,1176
486,486,176
487,487,1525
488,488,42
489,489,1248132
490,490,2290592
491,491,28070
492,492,204
493,493,537103
494,494,18660
495,495,1
496,496,13
497,497,261428
498,498,3
499,499,61
500,500,1
501,501,55
502,502,1275
503,503,42
504,504,2598743
505,505,461584
506,506,11122353
507,507,3968450
508,508,38669
509,509,336
510,510,10909
511,511,477
512,512,9374
513,513,132
514,514,372329
515,515,204393225
516,516,85
517,517,159
518,518,30
519,519,5036
520,520,26352
521,521,2345
522,522,173540809
523,523,472
524,524,30
525,525,8968
526,526,1500
527,527,2625519
528,528,990584
529,529,5275
530,530,15
531,531,7324
532,532,2702174
533,533,55
534,534,13402896
535,535,108108
536,536,13588
537,537,22
538,538,97
539,539,163
540,540,5542
541,541,17
542,542,784
543,543,177
544,544,120
545,545,21
546,546,46
547,547,212
548,548,583802
549,549,4
550,550,53362
551,551,2199970
552,552,1383
553,553,12564
554,554,251627293
555,555,2623
556,556,8430043
557,557,27269086
558,558,6751
559,559,16568
560,560,207700
561,561,230
562,562,482765
563,563,3746804
564,564,2404075
565,565,6120
566,566,9980
567,567,1786
568,568,1560371
569,569,417
570,570,4116
571,571,615
572,572,29701
573,573,8169
574,574,1590
575,575,914262
576,576,8144875
577,577,2573
578,578,12
579,579,128104
580,580,690586
581,581,20
582,582,495
583,583,2175
584,584,337418
585,585,37516
586,586,10127
587,587,18812369
588,588,47510
589,589,345984
590,590,31111320
591,591,7270877
592,592,209258
593,593,48
594,594,39519304
595,595,16740740
596,596,45298
597,597,25052055
598,598,37128
599,599,3361
600,600,3367
601,601,43830
602,602,1648
603,603,34508064
604,604,576
605,605,18826
606,606,4408
607,607,1115511
608,608,172434659
609,609,620
610,610,29501
611,611,2866481
612,612,832
613,613,8461034
614,614,3864
615,615,51147544
616,616,18155630
617,617,1178
618,618,138562
619,619,4050
620,620,25935
621,621,1035
622,622,43837
623,623,213413
624,624,256
625,625,5306
626,626,82602
627,627,1054186
628,628,72
629,629,93727
630,630,7482
631,631,251648
632,632,4544
633,633,2803
634,634,1280
635,635,1848563
636,636,234208032
637,637,14989
638,638,12143
639,639,58
640,640,87249229
641,641,608073
642,642,750172
643,643,2793775
644,644,5826
645,645,9870
646,646,65
647,647,20746
648,648,179557
649,649,110867
650,650,300
651,651,1043
652,652,113980
653,653,180907
654,654,923
655,655,398958
656,656,1841791
657,657,31705797
658,658,167475
659,659,2276
660,660,552
661,661,188771
662,662,12079848
663,663,517247
664,664,7927570
665,665,52501155
666,666,325683
667,667,1751786
668,668,1049613
669,669,11699947
670,670,9783
671,671,46766
672,672,270854
673,673,5513
674,674,46395
675,675,4866
676,676,252
677,677,119
678,678,147747
679,679,30786669
680,680,287514
681,681,1143354
682,682,1991995
683,683,27862382
684,684,887433
685,685,4955570
686,686,4886992
687,687,881912
688,688,420
689,689,2370230
690,690,1082497
691,691,1260
692,692,18150
693,693,423101
694,694,2722
695,695,2724
696,696,2403297
697,697,15047713
698,698,31857
699,699,165205
700,700,1376795
701,701,308278
702,702,3499923
703,703,936
704,704,207367
705,705,3194664
706,706,145646247
707,707,330
708,708,3079
709,709,101947
710,710,12813162
711,711,372
712,712,19071
713,713,84704346
714,714,2
715,715,229874
716,716,156062949
717,717,110458
718,718,70255280
719,719,300534
720,720,95934191
721,721,2978718
722,722,1594304
723,723,278288
724,724,278167027
725,725,106916359
726,726,376253
727,727,27584135
728,728,33835390
729,729,3656131
730,730,12258219
731,731,1908816
732,732,256073
733,733,279890549
734,734,50336850
735,735,41360320
736,736,3879439
737,737,5122149
738,738,44428153
739,739,165340436
740,740,11985049
741,741,172260
742,742,13343126
743,743,276159297
744,744,1388213
745,745,1880588402
746,746,7165068
747,747,36106032
748,748,42428117
749,749,3946377
750,750,10069
751,751,31210542
752,752,6420559
753,753,3615154
754,754,1678
755,755,2565
756,756,3049736
757,757,21359567
758,758,4104534
759,759,19488
760,760,7743602
761,761,80435756
762,762,217826874
763,763,60435
764,764,255019
765,765,127228
766,766,398104
767,767,18825451
768,768,1375369013
769,769,48342
770,770,136277
771,771,2422716476
772,772,6090598
773,773,182
774,774,115449479
775,775,112377
776,776,324
777,777,12919414
778,778,2464368142
779,779,136139256
780,780,75133
781,781,394
782,782,1034
783,783,11128
784,784,34200
785,785,286941
786,786,291055812
787,787,96878
788,788,1458679
789,789,982411246
790,790,193639063
791,791,4917616
792,792,3241671
793,793,1398
794,794,37995
795,795,37945282
796,796,146796
797,797,6085577
798,798,768
799,799,2185
800,800,598658181
801,801,1889972
802,802,211010863
803,803,16688
804,804,4566429
805,805,10387049239
806,806,323629521
807,807,1427503
808,808,18613
809,809,648
810,810,121580
811,811,1150713
812,812,2185795
813,813,3791838
814,814,360636
815,815,9599423
816,816,7629
817,817,9838909
818,818,6305
819,819,470860
820,820,635109488
821,821,2560
822,822,14226867
823,823,241979917
824,824,1385
825,825,62040
826,826,3465
827,827,1994417
828,828,16490118607
829,829,2715175754
830,830,876156815
831,831,112405384
832,832,145610825751
833,833,87552684015
834,834,2000469384
835,835,8509982
836,836,71510612
837,837,2942914169
838,838,233657819759
839,839,59786834223
840,840,28048361
841,841,18914961759
842,842,37119
843,843,321778
844,844,8829
845,845,6417433
846,846,110783530297
847,847,1180917
848,848,3566861
849,849,240912
850,850,26816550812
851,851,237378060
852,852,3257859
853,853,3783190464
854,854,12685441
855,855,304420
856,856,32943
857,857,24318
858,858,5497801
859,859,9418905996
860,860,54920442225
861,861,127446634
862,862,66197334156
863,863,43905290162
864,864,1838552
865,865,2154
866,866,67952
867,867,3296160
868,868,12497023
869,869,47441026
870,870,506912
