,QueryLabel,JoinSize
0,0,715
1,1,9
2,2,47
3,3,16
4,4,148552
5,5,62682310
6,6,11990578
7,7,157041534
8,8,850677
9,9,179616
10,10,2031666
11,11,6333733
12,12,1931627
13,13,12738511
14,14,1224
15,15,13221
16,16,33
17,17,1224
18,18,114182642
19,19,4533382
20,20,695701
21,21,21454165
22,22,13355828
23,23,4450853
24,24,794591
25,25,4893440
26,26,1381288
27,27,8720023
28,28,2873214
29,29,56965403
30,30,7153
31,31,14102
32,32,31339132
33,33,75440
34,34,72
35,35,305691
36,36,1919495
37,37,150780
38,38,3243247
39,39,1043763
40,40,512575801
41,41,206778521
42,42,625302823
43,43,7796926
44,44,1831108
45,45,2936093
46,46,16461908
47,47,24675801
48,48,132317651
49,49,90649862
50,50,151179813
51,51,84217062
52,52,333474
53,53,307213
54,54,658557
55,55,8275169
56,56,5060606
57,57,1352809555
58,58,191935
59,59,9537310863
60,60,492943940
61,61,32355583
62,62,81495003
63,63,51282842
64,64,19006
65,65,26718423
66,66,15813608
67,67,1067496
68,68,268172
69,69,258385218
