,QueryLabel,JoinSize
0,0,151
1,1,2614
2,2,782104
3,3,565
4,4,14
5,5,14899
6,6,14899
7,7,1428
8,8,22807119
9,9,9282
10,10,516327
11,11,4316584
12,12,4316584
13,13,4316584
14,14,2613
15,15,260
16,16,14115
17,17,328
18,18,37
19,19,25736
20,20,25736
21,21,323
22,22,2832555
23,23,221609
24,24,169273
25,25,2832555
26,26,7796926
27,27,7796926
28,28,7796926
29,29,2832555
30,30,7796926
31,31,50136494
32,32,912
33,33,168225
34,34,6110346
35,35,29798
36,36,17861719
37,37,17861719
38,38,391
39,39,3
40,40,33
41,41,4
42,42,532809
43,43,222518
44,44,189844
45,45,2554
46,46,133
47,47,3916
48,48,11574
49,49,101
50,50,73611
51,51,163661
52,52,4006
53,53,16
54,54,9038
55,55,577010
56,56,17054
57,57,23252
58,58,18
59,59,140982
60,60,87325
61,61,7041
62,62,581428
63,63,1334
64,64,874
65,65,1520
66,66,21616
67,67,451
68,68,51247
69,69,86830
70,70,190
71,71,3090774
72,72,7834
73,73,5228
74,74,1
75,75,68316
76,76,10488
77,77,10488
78,78,77001
79,79,4914
80,80,534
81,81,9205
82,82,1
83,83,4388
84,84,1849
85,85,393
86,86,7279
87,87,206
88,88,5
89,89,7250
90,90,740
91,91,6
92,92,4700
93,93,1
94,94,1
95,95,669
96,96,1224
97,97,383
98,98,33
99,99,785477
100,100,1224
101,101,785477
102,102,5255691
103,103,1162163
104,104,23942001
105,105,19600
106,106,2759
107,107,32289229
108,108,32289229
109,109,140443
110,110,34831
111,111,671694
112,112,671694
